id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33362494,"Modern Cambridge 2BD -- MIT,Harvard,Kendall,Boston",45016784,Yan,,Wellington-Harrington,42.3712,-71.08994,Entire home/apt,195,91,2,2019-06-26,0.18,7,14
33374476,"*2 bed, walk to subway:Harvard,MIT,Kendall,Boston*",246448509,Emily,,Wellington-Harrington,42.37218,-71.08807,Entire home/apt,210,91,0,,,2,2
33390947,One Bedroom Between Harvard & MIT (1572),51079261,Riverside,,The Port,42.36261,-71.09846,Private room,120,1,4,2019-06-29,0.29,47,36
33455197,Fancy private room next to Porter Sq 2,252044572,Natalie,,North Cambridge,42.38943,-71.12067,Private room,65,3,41,2020-04-18,2.90,1,153
33483321,Studio 3-minute walk to subway,51692157,Tina,,North Cambridge,42.38893,-71.12252,Entire home/apt,130,91,0,,,3,298
33484884,Sunny spacious 2 BR near Porter/ Davis/ Harvard sq,4234305,Caroline,,North Cambridge,42.39204,-71.12642,Entire home/apt,118,91,0,,,1,52
33487070,One Subway Stop to Harvard Two Stops to MIT (E),51079261,Riverside,,North Cambridge,42.39306,-71.12608,Private room,100,32,5,2019-09-05,0.37,47,0
33524860,One Subway Stop to Harvard Two Stops to MIT (F),51079261,Riverside,,North Cambridge,42.39433,-71.12681,Private room,100,32,6,2019-10-26,0.44,47,0
33551653,"Central Kendall Square Studio w/ Gym, W/D near MIT & River by Blueground",107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,155,32,0,,,36,331
33596731,"Comfy Kendall Square 1BR w/ Gym, W/D near MIT & River by Blueground",107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,157,32,0,,,36,267
33661860,Private Room near Kendall Square,163210604,Aitzaz,,East Cambridge,42.36359,-71.08466,Private room,150,1,33,2020-03-02,2.54,1,90
33692520,Sunny Bedroom at Harvard,9928124,Zayetta,,Agassiz,42.37808,-71.11077,Private room,56,91,2,2019-12-21,0.22,2,365
33718681,Luxurious Loft Centrally Located Spectacular View,253840197,Nikki,,Riverside,42.36697,-71.11332,Entire home/apt,175,1,60,2020-01-27,4.38,1,0
33719501,"Quiet duplex near Central Square, Harvard, and MIT",393304,Juliana,,Cambridgeport,42.36425,-71.10662,Entire home/apt,150,3,39,2020-04-03,3.14,1,2
33789540,Best Location at Harvard University!,254916391,Tang,,Mid-Cambridge,42.37227,-71.11513,Entire home/apt,358,2,23,2019-08-29,1.75,1,65
33804875,One Subway Stop to Harvard Two Stops to MIT (G),51079261,Riverside,,North Cambridge,42.39247,-71.127,Private room,100,32,2,2019-11-01,0.27,47,0
33913038,Studio 3--minute walk to subway,227996806,Mary,,North Cambridge,42.39149,-71.12264,Entire home/apt,62,91,0,,,5,298
33915066,34 - Walk To Harvard & Porter. Cute private room.,17028791,M,,West Cambridge,42.38292,-71.138,Private room,46,91,8,2019-12-13,0.66,5,199
33943878,"Gorgeous, bright apartment in heart of Harvard Sq!",81588089,Merve,,West Cambridge,42.37338,-71.12219,Entire home/apt,135,91,0,,,1,77
33998489,Cozy apartment next to Central Sq/Harvard Sq/MIT,256714221,Anna,,Mid-Cambridge,42.36977,-71.10268,Entire home/apt,230,2,59,2020-05-23,4.71,1,260
34015776,Duplex 2 Best Location by Harvard MIT monthly,21895566,Marcela,,The Port,42.36497,-71.10256,Private room,75,91,2,2019-09-01,0.21,5,365
34064493,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37147,-71.08837,Private room,45,30,2,2019-10-15,0.20,22,175
34065863,Davis Sq. Essential,295802,Joe,,North Cambridge,42.39305,-71.12538,Entire home/apt,85,91,0,,,1,364
34077979,"383L-2, 30-Day Min, 10-Min to MIT/Harvard",257237951,Yue,,Wellington-Harrington,42.37032,-71.08839,Private room,45,30,0,,,22,364
34079311,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37043,-71.08992,Private room,65,28,2,2020-03-23,0.19,22,364
34079501,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37054,-71.08905,Private room,60,28,0,,,22,365
34079963,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37013,-71.08878,Private room,70,28,1,2019-12-22,0.19,22,365
34080258,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37062,-71.09042,Private room,65,28,1,2019-10-21,0.14,22,365
34080526,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,East Cambridge,42.36997,-71.08827,Private room,60,28,1,2019-08-11,0.10,22,364
34084342,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.36988,-71.09032,Private room,45,28,2,2019-05-17,0.15,22,364
34084432,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37044,-71.08873,Private room,45,28,3,2019-12-31,0.23,22,364
34084551,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37192,-71.0885,Private room,45,28,1,2020-03-19,0.43,22,364
34084839,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37173,-71.08964,Private room,45,28,1,2019-09-05,0.11,22,360
34084960,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37131,-71.09026,Private room,45,28,2,2019-08-18,0.19,22,364
34084969,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37008,-71.09027,Private room,45,28,1,2019-08-17,0.11,22,364
34085156,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37115,-71.08889,Private room,45,28,0,,,22,365
34085480,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.36981,-71.08914,Private room,45,28,2,2019-08-11,0.15,22,1
34086134,"2R2-2, Private Rm, 10-Min to MIT/Harvard",257237951,Yue,,Wellington-Harrington,42.37047,-71.0899,Private room,45,30,1,2020-03-16,0.41,22,0
34086231,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37134,-71.09057,Private room,45,28,1,2019-05-03,0.08,22,1
34086319,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.37157,-71.08858,Private room,45,28,1,2019-08-25,0.11,22,364
34087559,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.36978,-71.0887,Private room,45,28,2,2019-05-29,0.16,22,364
34087691,"10-Min Walk to MIT, 12-Min to T, 1 Month Minimum",257237951,Yue,,Wellington-Harrington,42.36999,-71.09039,Private room,45,28,2,2019-05-24,0.16,22,364
34116076,"383L-1, 30-Day Min, 10-Min to MIT/Harvard",257237951,Yue,,Wellington-Harrington,42.37121,-71.08905,Private room,45,30,1,2019-06-01,0.08,22,364
